feature,sources
3d imaging,AI_Bowen_WU
3d reconstruction,Lightcast AI Skills
activity recognition,Lightcast AI Skills
adaboost,AI_Bowen_WU;Lightcast AI Skills
adaptive boost,Lightcast AI Skills
adobe sensei,Lightcast AI Skills
advanced driver assistance systems,Lightcast AI Skills
advanced robotics,Lightcast AI Skills
adversarial machine learning,Lightcast AI Skills
agentic ai,Lightcast AI Skills
agentic systems,Lightcast AI Skills
agile methodology,Lightcast AI Skills;Stanford_Tech_Skills;Stanford_Tech_Skills
agritech,Stanford_AI_FocusAreas;Stanford_AI_FocusAreas
ai,AI Non-tech term
ai agents,Lightcast AI Skills
ai as a service,custom2026
ai copywriting,Lightcast AI Skills
ai ethics,Stanford_AI_Skill_Clusters
ai governance,Stanford_AI_FocusAreas;Stanford_AI_FocusAreas;Stanford_AI_Skill_Clusters
ai inference,Lightcast AI Skills
ai infrastructure,Stanford_AI_FocusAreas;Stanford_AI_FocusAreas
ai personalization,Lightcast AI Skills
ai regulation,Stanford_AI_Skill_Clusters
ai research,Stanford_AI_FocusAreas;Stanford_AI_FocusAreas
ai safety,custom2026
ai security,Lightcast AI Skills
ai testing,Lightcast AI Skills
ai/ml inference,Lightcast AI Skills
aiaas,custom2026
aiml,Lightcast AI Skills
aiops,Lightcast AI Skills
algorithms,Lightcast AI Skills;custom2026
amazon alexa,Lightcast AI Skills
amazon lex,Lightcast AI Skills
amazon textract,Lightcast AI Skills
amelia,Lightcast AI Skills
analysis / opinion mining,Abis_Veldkamp_2080
anomaly detection,AI_Bowen_WU
anthropic,AI Company
anthropic claude,AI Specific tool
antlr,Lightcast AI Skills
apache madlib,Lightcast AI Skills
apache mahout,Lightcast AI Skills
apache mxnet,Lightcast AI Skills
apache opennlp,Lightcast AI Skills
apache singa,Lightcast AI Skills
apache spark,Lightcast AI Skills
apple intelegence,AI Specific tool
application layers,Lightcast AI Skills
applications of artificial intelligence,Lightcast AI Skills
applied mechanics,Lightcast AI Skills
ar,Stanford_AI_FocusAreas
ar/vr,Stanford_AI_FocusAreas;Stanford_AI_FocusAreas
artificial general intelligence,AI Non-tech term;Lightcast AI Skills;custom2026
artificial intelligence,AI Non-tech term;AI_Bowen_WU;Lightcast AI Skills;Tambe2025_Algorithms;Tambe2025_Machines;Tambe2025_Machines_Alt;Tambe2025_Machines_Alt2;Tambe2025_Machines_Robustness;Abis_Veldkamp_2024;Stanford_AI_Skill_Clusters;custom2026;custom2026
artificial intelligence development,Lightcast AI Skills
artificial intelligence markup language,Lightcast AI Skills
artificial intelligence risk,Lightcast AI Skills
artificial intelligence systems,Lightcast AI Skills
artificial neural networks,Lightcast AI Skills
association rule learning,Lightcast AI Skills
attention mechanisms,Lightcast AI Skills
augmented reality,custom2026
autoencoder,custom2026
autoencoders,Lightcast AI Skills
autogen,Lightcast AI Skills
automated data cleaning,Lightcast AI Skills
automated machine learning,Lightcast AI Skills
automatic speech recognition,Abis_Veldkamp_2036
automatic summarization,custom2026
automation of sales follow-up interactions,Stanford_GenAI_Use_Case
autonomation,Lightcast AI Skills
autonomic computing,Lightcast AI Skills
autonomous cruise control systems,Lightcast AI Skills
autonomous driving,Stanford_AI_Skill_Clusters
autonomous system,Lightcast AI Skills;custom2026
autonomous vehicles,Lightcast AI Skills
av,Stanford_AI_FocusAreas;Stanford_AI_FocusAreas
aws certified machine learning specialty,Lightcast AI Skills
aws sagemaker,Lightcast AI Skills
azure ai engineer,Lightcast AI Skills
azure ai fundamentals,Lightcast AI Skills
